id_perfil;clase;lugares
44ZJ4TZRT5JVEO3RSEUPIMOU2I;USA only;Indiana
45ITQZDGHIYYDD3TLIVE5244SM;USA only;New York
45OZ7GV4AMXELD3FMFRKKCRMVE;USA only;Tennessee
45YEJDGBPMFEIRV4DFPGG6LT3A;USA only;Chicago
46NVPG52UMXQJM37JABJ4V4UC4;World;Galway, Ireland, New York
474JGFR2ZIL2X6LD3PPLGM3PKU;USA only;Ohio
47L2WGQWELD5XMUNGHM5CNKAXU;USA only;Texas
4A42EQ3QLF5NYWG3AG5XPVV55E;Non-USA;Vietnam
4A4JDXFCVVVL6B65JGOLIUO6XE;USA only;Ohio
4BDSFGCO5KAV7ZVOBRGZIJGYWM;Non-USA;Canada
4BRLXKPCODLPNLOVDIOWFBWYFE;Non-USA;Latvia
4CG6Y6MMAR2BY7QZNYCVPOW25U;USA only;San Diego
4CZANNECT2DYN266L4P7MXZMYE;Non-USA;England
4D27HUXSGD55IXTMXZERHJV6II;Non-USA;Greece
4DLHH3EL7XZSPW4UF5ECH4M4SU;Undetermined;none
4EBLA7FDCJCVWME75EFW3VSFBY;Undetermined;none
4EEBHLZPTZXRW57G575HTWQKTQ;USA only;Chicago, Illinois
4EUW4OHG2QXCJVPAKUHINHHWCI;Non-USA;England
4FBHMXU4W3PAKHRWMP24IYJPXA;USA only;Orange, California
4FESXET4RXCQ7BD4CY64S2OEIY;USA only;Florida, Maryland
4FFNGXNKIMI74KS76JVQKGRSKA;Undetermined;none
4FNZ2L4U746O3EUZDJEFWKOQBU;Non-USA;Calamba, Philippines
4FYVJHL6VY6BTZWZQ56B2DFMZU;Undetermined;none
4G2SSALMGEWOF7VVKHSM7RJ7NA;USA only;US
4G4NKWV3OQWSJEIXZHADT5LT2U;Non-USA;Philippines, Iloilo
4GBFOQ6R5VEWCTHY5KKJ7KFI3M;Non-USA;Wales
4I3Q24EG7MHSH4TB44BRLH6GNE;Non-USA;Canadian, China
4IRD6EPIDYRPFJMQFWE7GG5YHQ;Undetermined;none
4J7FGZJTIJR5P3MFROELODMCKY;Non-USA;Venezuela
4JAQZ6RXZOKXLJJEFRYNMILXXU;USA only;New York, Maryland
4JDWLYTC4I6WC4BKBYUI424ZAA;World;England, Paris, Arizona, US
4JXCITK7EDTEQ3ZMDXV2LYOGYA;World;Texas, Iran, Iraq, Italy, Casablanca, Philippines
4JZOPFHJE5A5LAQEFJHJ5VAXPA;Non-USA;Nicaragua
4L7GGYFHMDNJF23INZGLA5FH3Y;USA only;Pennsylvania
4LA3WCYXMHWIGZYTLTXBBRMY5M;Non-USA;England
4LASV56A2GZDBR7ADNG5Z6STJQ;USA only;Denver, Colorado
4LMT334HVIYWU4SBEDGWDVO3JA;Undetermined;none
4LZ5KLP3KYHGQWI47YLY5EJNB4;USA only;Arkansas, Memphis, Tennessee
4O22BRSYE2IC6A62RZJOWA3XGQ;USA only;San Diego, California
4OGRVI3OXTPR4E3Q7E6Q2PF2SA;Undetermined;none
4P2K3HULJP5INOPRSFPEQPQODI;USA only;Cincinnati, Ohio
4POWIY7JHN5YK3YZM5PE5DT5S4;USA only;Maple Grove, Minnesota, Ft. Myers, Florida
4Q2Y3BZUVSSCNBD3REFOFIR6OY;Undetermined;none
4QO7XL2RTD5MQQFDJRKSJA5E7A;Undetermined;none
4QZM7JQ37RORO6P5ATM7JKMEVU;USA only;Florida
4RDY44EZTYM4QWN4JRNLVRTDKY;USA only;Hawaii
4S7TERJBWT326ZSXKUHCGHIOHE;Undetermined;none
4SE2FTSCB5SOIHYJUMY77522WM;Undetermined;none
4SFNQ7REKUO6VAIUMYYMSPORW4;USA only;Florida
4SQFBBMPQ6ZCDDL6BRCU66AHM4;USA only;Kentucky
4SWDUDEQKTQBN2AGILQKFQ5WBM;Undetermined;none
4TCTY3FC4Y53T3IA2F377GA7P4;USA only;US
4TEVLUNXI4SJ4BMVA33UH3VHOY;Non-USA;India, Karnata, Belgaum
4UAFC44ZFPXYIPYBI5SZHZW7HY;USA only;New Jersey
4ULSVWVVIWRTXF7KTELK2D4FGU;USA only;Texas
4WZMO3XQA57Q525NWWTFMCNF7Q;USA only;Carrollton, Texas
4X3XWOHG2OPPH5PWEDT2X7EPCU;USA only;New York
4XFHRXAP6BQ446AP7PAZFMAKEE;USA only;Memphis, Tennessee
4YGJZZXZQY3J3T5DILM7ZWSEBI;World;Philly, Pennsylvania, Africa
4ZJR5QAERUMZSF4YJC6W3BSVOI;Non-USA;Delhi, Noida
4ZTOP26KSOJFVIAWBHKTWA5HSE;Undetermined;none
522CEZR4DONXB7QDTNFQ52R7P4;Non-USA;India
5264B55CSAH26CHTIK25O2OGEQ;Undetermined;none
527TERWDNSYDAX7MNNHNHPOK74;USA only;San Diego
52SUT54ST3F5JR5LAV2B3YB4JI;USA only;South Florida
53G6MQGYE646FA4WF2NZFWC7A4;Undetermined;none
53LJIUNNRMP3AST4GGNFFMQ5UY;USA only;Detroit, Michigan
544WGULMUAE453ZR2UHI5RQUXI;Undetermined;none
54COJCKEX4QWIVTHD2ABJMVNZA;Undetermined;none
54COVULR7ORAMNUXLTCBA2G5UU;USA only;New York
56BBRBIT62B62EWP2S7BMDUCDE;USA only;Florida
57TNLNEKVANJRVRD3Q3HX36ZQY;USA only;Miami
5A5KKEGZU4RSFRCH65JCIVM4VI;World;California, Switzerland, Connecticut, New York
5AP5UEYCHZUQZITTO7MK6FSJ5I;Undetermined;none
5B2QSVN2A7AA42BK2CK4LBIRMA;Non-USA;UK
5BEVF7AFH5JPCS4J4DN53K4JEA;USA only;Austin, Texas
5BOEQ7YZMB5THQDLUSIN5V6VMU;USA only;Silicon Valley
5DIYYHH3KVQBBN3U44OPX752VQ;Undetermined;none
5DMR3BDUAJTONYMS7SFWZQXYIU;USA only;Connecticut
5DZX2PXUSDDOCIOOUQFISVMOGY;Undetermined;none
5EV3KVUOBPUQRGAECHTOJN6TJA;Undetermined;none
5F3KB5ABCON24J54ETOVQVEIKM;Non-USA;Poland
5F6P3NBD6A3FCR5GG7ATUHMM2Y;USA only;Florida
5F772R3HOBGZRHY6ITGP564LN4;Non-USA;Bangladesh
5FRDOFHVETTFFLOPPLMQR2BXLM;USA only;Florida, California
5GYOSKMPD7RI7MFOTY6QVMKCEU;Non-USA;Dutch, Havana, Polish
5H34ZR76NCP4FL5BOPHVWRYD5I;Non-USA;India
5HRBR2HCIIUHJAOHCTMZF2TGXY;USA only;Chicago
5IBII7QQ657VP45LG2TOCJBWRA;Undetermined;none
5JQZSNFPB6BYERY7HRNUOPZF4M;Non-USA;Maui
5JWOMMYZSGN6SVBSOGZ6YEMWEM;World;Tennessee, Canada
5K4CVYWPCXVQKQD2FHGVV7RC2A;USA only;Seattle
5L4WDSH4ERZ4H4TUTPH564WHFM;Non-USA;New Delhi, India
5LD3CZAZJ4ID77OD5GVDBFFZ7E;USA only;St. Paul, Minnesota
5LXE3EGRFLCYYSPZYTM4U2QX3Y;Non-USA;Queensland, Australia
5M4OIXSKPZYXMY4WV5BOQUNNLA;Undetermined;none
5OFFPYXVMJXHGDZTQTGBW27J3I;Undetermined;none
5OJMRPSKNUXIER2O7N5NJEKNXA;USA only;US
5PSXOJCTA5QI43DTCPS3P7DSZY;World;Mexico, Los Angeles
5PT2NWOHQVRFQ5D7M4HU3UJ6DU;Undetermined;none
5PU6HATH6PLFSZORHBZAHI7O2I;Non-USA;UK
5Q456JNR2AJQ7PUBXF65QZTYMQ;Undetermined;none
5Q6DFFOF7GHKZOJ62XQIDKX46E;USA only;Virginia, Ohio
5QPT4WV3VGB76FFIRAM3BAWFVE;Undetermined;none
5QT5X3DWYER45U3IOKAQ5O42UE;USA only;Seattle, Washington
5SBKCSRSQQMPUMT2RYKJRMVQ4A;Undetermined;none
5SL6PHGVAFWBK2E3YODT7WGK2Q;USA only;California
5SZQOGPYJ3O5YCPZXOTANJIC74;Undetermined;none
5TCIY6OBFBGKPF67RZNH3TDSEA;Non-USA;England
5TMMHSIAM24M5TNKWDQW7GIRMY;Non-USA;Mumbai
5TO6VKUXK6WBFFTECI7QHA3H3E;USA only;Ohio
5TQPNQKFQB7DTY56BUZH7MUGRM;Non-USA;Dublin, Ireland, Sydney, Australia
5TW6LLLDH2WLYCHVEJN3BVRX5U;USA only;Orlando
5UFTCXIJC5XKGW6DBNKX7ZJN2U;USA only;Buffalo, Oakland, San Diego, Atlanta
5UUVLN4WHOYLUQZ6ZSDHYC73IM;USA only;Colorado
5V7M2TWHC2BVG7IQ5D43LKC6EM;USA only;New York
5VPMLREKXJUXWT5S55YPWSKWJA;World;El Salvador, California
5W7PZB32XNX7IER2ZCBAQG533I;Non-USA;Glasgow, Scotland
5WP435A43Q4TJJ5GYPGVCXFTHE;Undetermined;none
5XZLDP75G2F7Q3SFBSEAD3SACI;Non-USA;Malaysia
5Y5MMVBNZCNQPI3NXJLV6SJ65M;Non-USA;Wales
5YG6T3JYJE5HA3ATESUMFZ5KJI;Undetermined;none
5YNJJJX4FWMXP3YAOX4IZFC35Y;World;New Mexico, US, India, Delhi Foothill, Himalayas, France, Italy, Greece, Sstanbul, Turkey
5YXQJT2SMDRMCDDVKONFQWXW7Q;USA only;New York, North Carolina
5ZH2WU6YRJDU5ZJ3RQWHDJ6OEU;Non-USA;Serbia
62DNCIDV5H3U2T6YMOK2GULHCY;USA only;Long Beach, California
62FGOAIPTMKUET7HP5ASPUZDCI;Non-USA;Croydon, London
62J5TAA25YFNVGWXDEV2A3UKDI;World;Italia, New York
62PMK5AWQQWZCS3KH2ZCDJ4SUI;USA only;North Wales
635WZLT5MABHXOHHPR4KEQX27U;USA only;San Diego, California
63KBEKAYML4IPCO4FULD6PBTJQ;USA only;Ann Arbor, Michigan
64BY4S5NHK7BR4BMISX4VI6MV4;Undetermined;none
64F2LAIA3PIXXJD6ONIZW6GTF4;Non-USA;Portsmouth, UK
64KZUSAWZVXBO7XBA25WGJL7VY;Undetermined;none
64VYKH32DPO6QRLKSXN2UUZXOQ;USA only;Los Angeles
653J6E4O2IN3FZMVQQ53CKKIMM;USA only;California
655I6HKQXFY7SJZ4LI67UJS7HQ;USA only;Jacksonville, Florida
65OJU6RSTPOPIYXDQBXI4QUFNU;USA only;Brooklyn
67PT36NMSK6IEQJI5C4CO6YG5Y;Non-USA;Scotland, UK, Edinburgh
6AFUHBNPSW47YXK7E6BC3WQIAE;Non-USA;Jamaica
6BOKP2TDILPWIKV7RBUMQXBPRY;USA only;Florida, Long Island, New York
6BORH4IZEVEKO7ZV3LGYELQKEU;Undetermined;none
6BRSD4NSW64SKGCK2SRKUG3X4I;USA only;St. Louis, Missouri
6BYTOUBCVFK4QJ6X2YOH2WFWCY;Non-USA;Canada
6CCBOOZHPHSUJYRDIZLLJ7SVSI;USA only;Roseville, California
6DW5SBT6PPKDWTL36KYVAGGDRE;Non-USA;India
6GAIWZGPCSUU6OZBDO2DFY4AJI;Undetermined;none
6GDBLNCASKDEIUF3W6BB4QLH2I;Undetermined;none
6GJFXHVOHQIX3DY35RDB7VCJTQ;USA only;Sacramento, California, Tucson, Arizona
6GTXKDQIGZCAOKMIKPZJRGAHFY;Non-USA;Canada
6HMSBLFGKL3GXPBZLG72MWB6QE;Non-USA;China
6HUXXM772I7CFDH6PMTHYSCYNQ;USA only;Florida
6IGDSUATNCPOKAW2C7UNET6ACI;Non-USA;Ontario, Canada
6IMDLI5DBDR77XJH3PRRWU6OIQ;Undetermined;none
6INQ2FLT7W45VOVCTWLRWVUCVM;USA only;Albuquerque, New Mexico
6JFFLAJD6424W3UV2UWCGQXVKY;Undetermined;none
6JNJZCR4FZWZKPFIHQIYC3KM5A;Undetermined;none
6KPELTPXUT6WO4G3I5ULWGYPNQ;Undetermined;none
6KXIAKIUQB5Q5QYFYWCZPIJP4E;Undetermined;none
6KZTT2ABOKZUPU4ASSFUDMF37Q;USA only;Berkeley, California
6LMPL4HGV3ZKSILS2ICY2EHLDE;Non-USA;England
6MA5N3WBMJD7IEZQJLJR3NVSOA;USA only;Detroit, Michigan
6MQ72XLIKLDDARA4I7NR4ZYYQA;USA only;Tennessee
6MXSWTYWSEDI63XT4GWJP3WHO4;Undetermined;none
6N2RMILB74IIYGO2K6GQCOVXYU;Undetermined;none
6NJ6UQFRLMQOH25HJEHS67NKCM;USA only;Connecticut
6NMBY27YTQTLJA4LGDSBUDTSFA;USA only;Orange County
6NTJRS4TOP46SXAZT6MZWBYRYM;USA only;Charlotte, North Carolina
6OUYTMLTUFODVXOYZFWPG5SAQ4;USA only;Houston, Texas, Arkansas
6PZT76TURNRVLGL4AQSDU6C4KI;USA only;Wisconsin
6QARWBCF563MSHABT73Z67GWQM;Non-USA;Caribbean
6QMLD2SJASN7PDTTJ2C7H6K6OE;USA only;US
6QZH5RAPLUVW7XM7ZUFFSPDX4U;USA only;Kentucky, Florida
6R25LBX6SSD2JGAXEN3SH5375E;Undetermined;none
6RLJY2XCMB7ZYAHIPSBUCV43ZU;Undetermined;none
6RMNT22VZU5CKIVHEWZEQUBMWI;Non-USA;Montreal, Canada
6RSL7VH4AICIYT7CLUOF5LP6M4;World;Florida, Philippines
6SIQFZNOPILS2KMKP6TFGSUO5I;Undetermined;none
6SV2AKSZEEAWNDRZOJSDACVHHI;USA only;Massachusetts
6TK7IYEXWC5ZVVVORY6WTGMNEI;USA only;US
6TMORBTPI3PZWUBGNGGUJOHUKQ;Undetermined;none
6UIOTRR45XNXOUAEJUVRSPXUPM;USA only;Tallahassee, Florida
6UOTUSKLGKDJCPOC7H4MBYLCIY;Undetermined;none
6UYOIBG6RSBLJ6DT5NP2JUNZJE;Non-USA;Bristol, UK
6XADNQ4B62O7WFRPRIXMS4BNQI;USA only;Ontario
6XAXSNPA7QLKVTXHKD4RKU4G6Q;Non-USA;UK
6Y3PG24JEQYUCT275J77OTDUW4;Undetermined;none
6Y5O4RKIOWIPW7RVSH7V37IBXI;Undetermined;none
6YGHUDUQPEOZPQDL2FZXD5OFVQ;Non-USA;Quebec, Canada
6YJ3LV2LHOJT5X6KY343MYXIAA;USA only;Pennsylvania
6ZSVROSZREFYARPMOL4Q6OUMOA;Undetermined;none
727I4EKBS4GZMKHR74RATVNPSM;Non-USA;Cyprus
72WSCZJ7LYGL5XQG5FIAQYMIHY;Non-USA;Singapore
72Y4IF7OGZK3JV2A3XQFEXV734;USA only;Kansas
73ANTK5ZH7SSNN43LGHOCJGCB4;USA only;Chicago
73X2M2S6JMMTIBB2CFUY22KZWI;Undetermined;none
73YQTEEOCDJL43MPIIWXVGKCRI;Non-USA;Chennai, India
74GACAAZ5JYGWXRWQGTBQ2FZWI;Undetermined;none
74JHC7Y4GOM4LYKBK546SJJT44;USA only;Peoria
76TRF34TPDDCPPHVTDY7YPTBFQ;USA only;Texas
77ENNZYAYVMJNTETAT6V437PEY;USA only;Wisconsin
7AUUFBB22CGGLZHVPYXRIIQ23Y;USA only;Philadelphia
7B6YK6PEWQDDISMIN6LDKBTZMI;Undetermined;none
7BYW7KYVGEG2L2P6D2UBGUXC5U;Undetermined;none
7CDLBASJXAVOHEAGM3RNC4NCRY;USA only;Florida
7DBRFHX2JEV2Z5ACBK2A3IGRPU;Non-USA;Manchester, UK
7EHHLDUKUNQK335RXLDQEUZC4A;USA only;Cleveland, Ohio
7EKPVJ3I5J7MXETG5ADE2ICLJE;USA only;Albany, New York
7ENHMICNFHY3HF57MPSBEDDTAY;USA only;Boston, Maine
7ES5AOKAFQ5TACRZOOKNK4PAL4;USA only;Long Island
7ESHEJWFOSFJ2HIVAWXY6KVEDQ;Undetermined;none
7F4OP7QHLUA2GDDNYKQXEPMHAM;USA only;Albany, New York
7FN3AFARCYFAA5PJO3KVL44BDQ;Undetermined;none
7FOSU4LT4OS66UPVUYKAPRA5BU;USA only;Alabama
7FSSYHZRD3YXHOHZNFUCPS2XMI;Undetermined;none
7FSXCAH2PTJHFLMXIFPQ5X4FRE;Non-USA;Malaysia
7FWDE3GE3OIUELL26VLJ2KIWBU;Undetermined;none
7FYI5X63MWWL7KSPDPLHHNZGFE;Undetermined;none
7GFC4ESQLZSFENIJZOJO2Y3E7E;Undetermined;none
7GW4JEDP2BL5ZN7YV4KC2ZZ4DQ;Undetermined;none
7GWVXDNJOMKRYZ66OXZ6QQ64GU;Non-USA;Mexico
7HADQZX5D5PCQYWEHSB62BNGAE;Non-USA;Canada
7HO4LAFCACRN2FO7LTILOCH2RA;Non-USA;British Columbia, Canada
7HZWZU4AN4Z2BSXSL5VQHD6KBA;Non-USA;Montreal, Canada
7IUN2OGH7PJ4ADGTZPAZR3JVTQ;Undetermined;none
7JGTHHDX7IJLEIBZQSZFHB6IXM;Undetermined;none
7JY7OQZMDLX3DIMHYRSXK53QPQ;Undetermined;none
7K5P4LH2WG3LRAJHIX4LZMFMJM;USA only;Stockton, California
7KD6G7XWORY5XXZZPDCOGUCSMU;USA only;New Orleans
7KSDMUN6NDDYEPYCQFPCDICJZE;USA only;Hawaii
7MAQVOGDIFX5SDRKT2YJSUA3SI;Non-USA;England, Bromsgrove
7MJSLI2F5J7IWOU5GMVOPAJEEM;USA only;Florida, Ohio, Bahamas
7MKKYOTXFCEIHMQXMXJBE4TGJM;USA only;Pennsylvania
7MP73J5UQP5LZB7NQNTGDXDU64;USA only;Oklahoma
7MR4WZ5TMSU2MHEOFIFOZ5FDKQ;USA only;San Diego
7N6LF62LMYCJZFRFG65DNBUFOI;World;California, Africa
7NMRBJPPCV7W2J7K35DFWPFBNM;Non-USA;Arunachal Pradesh, India
7NPMUYWWVYJS2O7K3UIAZQSG5Q;USA only;Rhode Island
7OHBGA2WQX62Y27C2Z6RRASNJQ;Non-USA;Hub Chowki , Balochistan, Pakistan
7OMBITJDFUAA23EFEVBG6BACKQ;Undetermined;none
7P34KG7ZPDH5YDIADG6PZITPDY;USA only;California
7PU4ZGZORTSTX5YYVHMDMGEQDA;World;California, Washington, Maine, Florida, Mexico, Canada, Portland, Chicago, Omaha, Las Vegas, Tampa, Louisiana
7RZOPU4ER225WTHW4PZJPPCJX4;USA only;Madison
7S5YNR7OV5RF6RL5F6ZXOCGPCM;Undetermined;none
7SGQE5OO4XIE6DZNHP7MXS2M6A;Undetermined;none
7SQZUNX7MO3TLZ4BRRVYMBRRIU;USA only;Ohio
7T72DE44CQZLGCMROL7IS7QZ5E;World;Kyoto , New York
7TI7UYLXJJKKJDVJMVENQ6NY5I;USA only;New York
7TKQWZRS4CJNRZXK3726Q7C4XE;Non-USA;Puerto Rico
7TL3G4S2B64GDZJKTGCS6P264M;USA only;New York, Los Angeles
7TQFYFT3VDFSIUULNJWS3OTMBY;Undetermined;none
7UI7XXAVXPFJZG4ORYQPEV7XQI;Undetermined;none
