33F7CXYXMRWM6OGXJM3U4NTB64	JEAN's the name. <br> <br/> I was born and raised in CALI.
3NVT4I254MUCBBWIP444UNOKIQ	33, Open minded, been there attitude. People that know me laugh, becuase they say I do look like my avitar. hahah. <br> <br/> Born in Florida, moved to Lake Tahoe when I was 14, have lived in Reno since 1995. <br> <br/> Payroll administrator by day since 1998, bartender a couple of nights a week. Used to work the bar for need, now I just enjoy it and only do it a couple of days a week...that is where I get a lot of my people know how. Been doing that for about 12 years and still enjoy it. <br> <br/> I enjoy my friends with great senses of humor, from all walks of life. <br> <br/> Big Seth MacFarlane fan :). <br> <br/> I usually am on answers after my kids are in bed and it is my alone time...yay.
3W2ZOKTJMGGTLYCWRLXYNJXCPY	I'm just your average person, nothing special. I like watching Doctor Who, Top Gear, and I like to work on my Pontiac now and then.
3WECIQ5QDC734PHNC45ISNVXNA	live in chicago,work as an union electrician,play bass for fun;semi-pro .new to comp and internet -long story!married but seperated going thru friendly uncontested divorice. - thats all the dirt 4 now
3AJRD4WWEMXWAHN4ZHT5LSKZMA	I am 60 years old. I have been married to my bride for 34 years and have two grown sons. <br> <br/> <br> <br/> I am a Navy Veteran, with two tours of duty in Vietnam. I spent a total of 11-1/2 years in Uncle Sam's Canoe Club and got out because I wanted to see my sons grow up. <br> <br/> <br> <br/> My interests are fishing, shooting, fishing, swimming, fishing and reading. <br> <br/> <br> <br/> I believe that "professional politicians" have sold out the country to keep their elected offices. I am neither Republican or Democrat. Both are equally bad for our freedom. However, I am VERY conservative! <br> <br/> <br> <br/> I am VERY UN-Politically Corzrect and proud of it! I proudly wear the label given by Janet Napolitano of a "right-wing, pro-gun, pro-religion, anti-government, anti-abortion, veteran extremist"!!
3NPMRQ3JOJDZOGJXNAQUTQFTLU	Well, let's see here. I'm 30, married 13 years, no children yet. I live in Ontario Canada. I've been told I look like a Native Marilynn Monroe, but I think it's because I have the same facial moles. I like reading, writing, music, working out, and dancing - Pow wow style. I am in a Native drumming group. I like to think I'm sweet, caring, friendly, happy and out-going.
32D55I32FQL746OIPIEXEKFZMQ	I am a Dj in the US, I enjoy spinning House, Electro house, Techno and House Hop. I pretty good with answers to the world of dance music. I am very passionate about what I do. Please feel free to visit myspace.com/DjKrisD.
3S5QZLQJDQJYKPSDVUCODAGJ6U	Electronic engineer student. Live in Bogota, Colombia.
3QVEJL5F3PBEHVLUQM4RSWD6QI	Heyy , I am an Egyptian teen , 16 yrs old , Love fun , theaters , cinemas , malls , I adore Travelling abroad , I want to visit Universal studios and Hollywood in united states :D <br> <br/> <br> <br/> I love making friends from allover the world!
37ZE2FA5YDJ2AGLT652DXICKIU	BBA(accounting), Bangladesh, computer expert........
3FWZ67O5UQFBCKB3K4LU4Y7XGY	whats up every1? <br> <br/> this is Olivia. <br> <br/> i am 19 years old. <br> <br/> i live in Phx, Arizona
3CCVA5HHP72N64QJAUV733RKNA	Hello, here's a bit about myself.... I graduated from H.S in 2008, Im currently working. I love my boyfriend O. Martinez. On the weekends we go out with our friends and jus hang out and chill. I like helping out ppl with great advice/facts, reason why im on Y! Ans.
3S3AMWNKTYQJJLXBS6BCFHSJAM	30 year old female. Worked with horses for 25 years. Live in Northern New Hampshire.
3DOFYLESTFNL7PDXN6FX6Q32HQ	5 But he was pierced for our transgressions, <br> <br/> he was crushed for our iniquities; <br> <br/> the punishment that brought us peace was on him, <br> <br/> and by his wounds we are healed. <br> <br/> <br> <br/> 6 We all, like sheep, have gone astray, <br> <br/> each of us has turned to our own way; <br> <br/> and the Lord has laid on him <br> <br/> the iniquity of us all. <br> <br/> <br> <br/> † <br> <br/> <br> <br/> "By this we know love, that he laid down his life for us.." 1 John 3:16.
3YRJZJWE43FLW2JC4TWBDKQZXQ	Born and raised in Bronx, NY!
36L6K3SSIBDXJ3LIF4BHYX5EGI	I'm a drummer from Nashville TN. I am on the road a lot touring with different artists. When I am home I work at a custom auto shop that specialize in auto/motorcycle mechanics and graphics. Other than that, I love grabbin the accoustic and goin down to the river and play til I fall asleep. I wonder how long this will last for me.
3TV7CTELK567JASRANBFQCYVNU	i am 16 year old im in canada, toronto, town :richmond hill, and i love women, people call me marshall, i never back down. my real name is shahab, im half Turkish and half Iranian. :D
3GHM5WRE4H5BJ7EPQLQGBZOWF4	I am 33 and live in Columbia, SC. IM me sometime if you wanna chat.
3V76TWYAEDHXP64DWQGYWJ5JCM	Mah name is Dareen Marie from the Philippines. <br> <br/> I'm still 16, female. To view mah profile,, <br> <br/> Just go to.. <br> <br/> <br> <br/> <br> <br/> www.friendster.com/meeming
326734IBTCU535AC66NEU56NDE	I'm a 38 year old college-degreed housewife and mother from a rural area in Missouri who currently does reality TV transcription from home. My husband of 18 years is an auto-body repairman, and we have 12 and 18 year old sons. In what little spare time I have, I enjoy reading science fiction/fantasy, counted cross-stitch, NASCAR racing, archery and volunteering through my church.
3GDVJPNHV6TBOTXAFDAKRQZV2Q	Hi. <br> <br/> I like Broadway Shows, theater and dancing. <br> <br/> I depend on music to live. I'm also addicted to Y!A and my e-mail. <br> <br/> ✵●❖●✥●✪●✳●✯●✵ <br> <br/> <br> <br/> "Without music life would be a mistake." <br> <br/> ~Friedrich Wilhelm Nietzsche <br> <br/> ☺❖☺❖☺ <br> <br/> <br> <br/> <br> <br/> <br> <br/> for more quotes, visit my site: <br> <br/> <a href="http://www.cool-quotes.wetpaint.com/" rel="nofollow">http://www.cool-quotes.wetpaint.com/</a> <br> <br/> <br> <br/> <br> <br/> ----///-\\\----Put This <br> <br/> ---|||---|||-z--On Your <br> <br/> ---|||---|||---Profile If <br> <br/> ---|||---|||---You Know <br> <br/> ----\\\-///----Someone <br> <br/> -----\\///-----Who has/had <br> <br/> ------///-----Cancer <br> <br/> -----///\\\---- <br> <br/> ----///--\\\-- Pass It On <br> <br/> -Brianna
3FAO5RRZGBQ2NK2PYBQEL6H4M4	I'm 26 years old, have a 2 year old daughter and another child on the way. Living in Townsville, Australia close to family. Am very happy here and am loving the life we have here :-)
3ZDGAYAMSOTMA3OZCGRBVO5CLY	I live in California; I love it!!!
3Z2DGWX6LJQ6BNBS3DJY33ZZC4	my name is mrs claudia.j.webb.i.am 45 year.s old and a wrestling fan. <br> <br/> i love wwe tna wsx ecw wrestling.i.am a stay at home mom and wife. <br> <br/> love going to the wrestling event.s i and my son and hubby. do when the wwe come.s to dayton ohio. <br> <br/> i take pictures of the wrestler.s when we go see them. <br> <br/> i love music . pop rock and rock music hard rock. <br> <br/> and a little bit country. and love making jewelry and writting poem.s my fav tv show.s are wwe tna wsx ecw wrestling ulitimate fighting..roseann. fresh prince. cosbys . bewitch .sbrininba the teen age witch. cop.s criss angel. the haunting ghost story.s simple life. girl.s next door. young and restless bold and beatiful as the world turns. guiding light. do family thing.s with my son and hubby. and i do love god and jesus but dont go to chuch. maybe once in a life time. i watch joyce myeres. and john haggie. on tbn. i do read my bible. .. sex in the city. i love finding crystal.s and love magic....i have a wrestlingstrsfanclub it.s free to join
3HFETJ2MLQ52ZFYKLXTP5PQ4LY	Hello to all! <br> <br/> <br> <br/> Currently going to college (woohoo!) and not working (boo~). I'm into reading and martial arts and also spiritual stuff! <br> <br/> <br> <br/> Um, 19 and living in Hawaii, so if you're a fellow local send me a hello! <br> <br/> <br> <br/> Yay! Found an awesome Traditional Taekwondo school!!! Time to get in shape! *huffhuff*
3UIDQW5DTKGAZOC3NWWFGG7BCI	i am 14 years old. i am from IRAQ but i live in LONDON .I AM muslims AND I LOVE ONE DIRECTION AND DEMI LOVATO AND TYLOR SWIFT
3LFAS7TRV3H5MKSONVJNGVUJOE	I am a TOM BOY! Leave it alone! You have a problem with it... Then you deal with it! <br> <br/> Well, I like guys... accually love 'em, but you already knew that! <br> <br/> I am from Pluto and have realized that I like it there a lot better than here! <br> <br/> <br> <br/> LOVE YOU!</szpan> <br/> <span id="abt-show-more" class="Clr-b Cur-p" data-prev="show less">show more
3TKZAJYYXK6D36RGXGQE7ODROY	I'm a 51 year old clean & sober guy that had a lot of opportunities placed in front of me and turned down few. Because of that I have had the chance to do a lot of things and visit the entire country of America except Alaska, and I'll get there someday. My latest job, and my favorite, has been working with dually diagnosed clients in rehab hospitals and clinics. I'm a motorcycle enthuiast and own a classic, vintage one that I ride almost everyday. I live alone in southern California so I can ride most anytime I'm not working or at school. I've had a blast answering these questions so far and look forward to many more. Peace & Love to you and God Bless
35OD5IIWPJYS7R7X7P33RXI5YE	Hi i am sam6teddies (6 as i have six teddies kitties or cats) i live in Bradford in the U.K
3ZYWPNTBPNAPM5WBM27BQYBK3U	I'm a nice and sweet girl, I like going out with my friends, liked to work as and proficional model,and one day I will like to go to Japan, I'm a anime and cospaly fan. <br> <br/> i have profile with photos at <a href="http://www.umpal.com" rel="nofollow">http://www.umpal.com</a> <br> <br/> kiss XD
3O7SD5TCYXFUJK3BYJE4WVJI3Q	I am a retired nurse. I have 2 children and 2 grandchildren. I live in FLa in the small town where I was born. however I left here past highschool, went to a larger town where I found work as a nurse`s aide.maried raised my family and worked my way up the ranks to LPN then to R.N. returned home to nurse my parents In their declining years. I grow flowers and vegies. have been a vegitarian, almost total vegan for the past year.reading "THE CHINA STUDY 'BY CAMPBELL LED TO THE DIET CHANGE I also sew raggedy anne and andy dolls to sell to support charities
32LSAZFABLCT7DDXHUOIUIO3MU	So I'm Now a senior of the class 2010! LOL that's Right We Kick Ass! Yes I'm am a country girl... I love goin to the lake, parties, 4-wheelers, muddin, horseback riding, FFA, to shop at hollister and abercrombie and Other things. But that's not my only side I love just about all music as long as it's not Rap! Ask anyone who knows me I constantly have an Ipod jammed in my ears. Trust Is the most important thing to me Lose my trust and your going to have to work like hell to get it back I don't try to look like anyone else. I just do whatever I feel. Honestly I normally just wake up and throw watever I pick up on and go to school... I couldn't care more about my family. All except my dad I love him but he doesn't quite understand me. I always have my friends behind me and in return I love them all.
3Y3QKVCL3BOATYUJQ5S4WRRXRQ	Aloha! I am a happily married mother of two. I'm kind, outgoing, and down to earth. I enjoy meeting people from all over. <br> <br/> <br> <br/> Hmm....I don't know what else to say!
3M7RWPA2H3TBCJQOD53NZQ4X2E	i am from a small town in new york. i am maddly in love with horses i ride everyday.... i like both jumping and barrels i have a bay quater horse/ morgan that is 8 years old... his name is dark night mystery he is my man i love him to death.... i am tall blonde hair and blue/green eyes
3D43MA355763M4CGA26M6ARJU4	I've written for most of the leading websites; notably thesweetscience until its recent demise and have also featured in print in the UK and US. Find my daily ramblings at <a href="http://boxingwriter.wordpress.com" rel="nofollow">http://boxingwriter.wordpress.com</a>
35FKYWBE77Q6C5JA7X4WOTV77E	Options for College is a Manhattan-based college and graduate school admissions counseling service. OFC trains college counseling staff, advises at two Manhattan high school, the Princeton Review India, Bespoke Education, and many other organizations. <br> <br/> <br> <br/> For reliable answers to college admissions, higher education, and financial aid questions, this is where to get definitive answers instead of anecdotal ones. <br> <br/> <br> <br/> See www.optionsforcollege.com for more. <br> <br/> <br> <br/> Expertise <br> <br/> College admissions <br> <br/> Graduate school admissions <br> <br/> Guidance <br> <br/> Counseling <br> <br/> College applications
3WZSQYM5FLOCJRFJYRP42E7BKA	My name is Silver Rose (though not in real life obviously) and I love writing and listening to music. My favourite song at the moment is Brick by Boring Brick or Drown in You. I think Justin Robinett and Michael Henry do the best song covers ever and I am a Doctor Who fan, though series 1-4 were CLEARLY better than the most recent series. My favourite food is pizza or chocolate and my favourite animal is a cat. I like DC and Marvel comics. My favourite movies are The Dark Knight trilogy, Harry Potter and Pirates of the Caribbean (all of them apart from Deathly Hallows part one). My favourite author is Amanda Hocking and so far I love all the books she has written. I plan on becoming an author myself and I am writing a book.
3M5VTFBOTZ4C2KWIGMSGMCXZEU	female, west coast california, democratic, liberal, retired and independent. <br> <br/> -----------when you have excluded the impossible, whatever remains, however improbable, must be the truth. sherlock holmes
36F6V2GMSNBS3Z2IMKZXDQDCHE	I live in ohio and i love snakes
3BIILQBBJRIHSOL2XCAPE6HTMA	Webmatriks is one of the leading SEO & Digital Marketing company in Faridabad, India offering Website Design, Development, Mobile App Development at affordable prices.
3RQKI77XEUGK47NR5UBM4I6Y2M	Well i like answer questions <br> <br/> Anyone intresting about me.Email me. <br> <br/> I Live in Los Angeles. California
3UKETBNWNO3IXHVFZB76MJSNLY	Name: Sarah <br> <br/> Age: 17 <br> <br/> Location: Toronto, Canada <br> <br/> <br> <br/> I love: <br> <br/> <br> <br/> american apparel <br> <br/> reading <br> <br/> rugby <br> <br/> lace <br> <br/> beautiful photography <br> <br/> contact sports <br> <br/> fruit roll ups <br> <br/> the smell of fresh bread baking <br> <br/> thunderstorms <br> <br/> wet grass <br> <br/> moonlight <br> <br/> creme nail polish <br> <br/> <br> <br/> xo
3T6367HCKTC3HY2F6XL3H5SCQQ	Hey! I'm... oh am i suppose to say my name? w/e Im 15 going on 16, I have a dog. I am a christian. I live with my parents and grandma and Cory. I have a boyfriend. ummmm and two Cats. I was born on Utari in 1953, and born in Texas in 1991. I love nickelback and the Foo Fighters, i like cookies and milk. candy is yummy. im homeschooled. and uh yeah. peace out!
35MYGFBUCCLGDMVKSEV7YIZW3Q	i am 15 <br> <br/> i have been into fashion since i was 8 and all i want to do is work in the fashion industry or become a model. <br> <br/> <br> <br/> i have no other goal in life, except to go sky diving. <br> <br/> <br> <br/> i know every single designer brand: <br> <br/> Heatherette <br> <br/> Juicy couture (my fav perfume) <br> <br/> marc jacobs <br> <br/> anna sui <br> <br/> betsey johnson (she is my FAVORITE!) <br> <br/> luca luca <br> <br/> VS <br> <br/> Dsquared2 <br> <br/> Dolce & Gabbana <br> <br/> Prada <br> <br/> Fossil <br> <br/> Gucci <br> <br/> Fred Flare <br> <br/> Chanel <br> <br/> Dior <br> <br/> DKNY <br> <br/> harajuku lovers <br> <br/> nahi ollin <br> <br/> Emporio Armani <br> <br/> vera wang <br> <br/> biba <br> <br/> baby phat <br> <br/> free people <br> <br/> vera bradley (i have many of these purses) <br> <br/> burberry <br> <br/> louis vuitton <br> <br/> XOXO <br> <br/> zac posen <br> <br/> stella mcCartney <br> <br/> kate spade <br> <br/> nine west <br> <br/> issey miyake <br> <br/> <br> <br/> and... <br> <br/> VALENTINO! <br> <br/> ^^i love him!!! <br> <br/> he just retired but will always be the true designer of hollywood glamour <br> <br/> <br> <br/> I am obbsessed with dELiA*s, Envy, and Jule <br> <br/> <br> <br/> i loooove fancy resturaunts and fashion magazines! <br> <br/> and FOOD! <br> <br/> <br> <br/> and of course the best thing in the world is.... <br> <br/> <br> <br/> SHOPPING!! <br> <br/> <br> <br/> +luv Leelee
3HTEWL3KYYJ4BJMF22R3G4MPCI	I like big fish and I cannot deni, Its the big ole one's for which I try, I like big fish. lol Hey google Sabine River Creature or look for it on Coast to Coast a.m. It's my "Lochness" monster pic. Tell me what you think..... Its also on cryptimondo (???)
34IENDBLWEH5QQSZGVWXTQR6J4	hi! im in the tenth grade.....i live in miami.... and i come here whenever i'm bored.
37C23YWN6HB5LYTECE2U6PK4CU	I am from Costa Rica and I am an evangelist christian. Here in Costa Rica we speak spanish so I wanted to practice english because I am learning it. I am 17 years old and I am interested in sharing opinions with christian people or any person that wants to know a little about God. So email me. Thanks for your time to read. <br> <br/> Bye God Bless you!!!!!
3LUHR4UJ5HTEUJG3HMCPSPUQFY	About me. Im a 29yr old, unmarried(shock horror!) mum of 2. I live in N. E Lincolnshire with my 2 beautiful kids. My daughter is 11yrs and my son is 4yrs. I come on here for a bit of fun and to have a laugh. Im easy going.....If you dont like what i have to say, dont read it..... <br> <br/> <br> <br/> Claire <br> <br/> <br> <br/> xx xx
34O5JWJOEQ765F6ZYZBL45JGGA	Greetings from Virginia
3J6JUUAOIKVZOCKMPIHS23RS3I	Gonzaga College High School, Psych Masters at Columbia, MD at Johns Hopkins. Why waste time here at Yahoo! Answers? Well a friend of mine showed me the site and as I browsed through the medical portion I became completely appalled by how much misinformation was about. I mean some of this stuff was dangerously ignorant. So I see it as a civic duty to try and combat this problem. I answer all emails as quickly as I can so dont be afraid to ask.
3R5NUWL34CA26TS3QPTP5ZJMEU	I am 37 years old man from Penang, Malaysia. <br> <br/> Currently attached with one of International oil and gas companies in african countries. <br> <br/> Love travel, sports and reading. Always cheerful and happy go lucky but have great passion in supporting those in needs especially the orphans and elderly. Intended to set up a foundation for orphans of war victims in Sudan. Any suggestions from readers are very much appreciated..
3IWENUVGAESMUUIZL6LAUUBOVY	My name is claudia i live in florida i'm 17 years old and i love animals and one day hope to be a veterinarian
3663EN5PTHVVYLH2WHEMRG373E	I am a 31 year old African-American male. I live in the beautiful state of Colorado and I am married to a wonderful woman whom I love very much. <br> <br/> <br> <br/> I became interested in Computer Techology at a very young age and I have been steadily increasing my knowledge of IT and the computer world for the past 20 years or so. <br> <br/> <br> <br/> The first computer that I owned was a Commodore 64 that used the big 5.25" floppy disks. My first PC was an IntelDX2 that ran at a blazingly fast 66MHz; it also came with a whopping 4MB of RAM. I bought it out of the classified ads for $100 including the monitor and a huge dot matrix printer. <br> <br/> <br> <br/> I am currently attending ITT Tech's School of Information Technology. I have a GPA of 3.0 and I am majoring in Computer Network Systems; although, my first passion is for computer repair and I am very good at it. <br> <br/> <br> <br/> I am looking forward to putting the knowledge I have gained over the years to good use here on Yahoo! Answers and elsewhere. <br> <br/> <br> <br/> Deme
3NHLZH3NP364ETVSHHSLJHAJ54	Interests include enjoying life to the full, and of course, Rugby Union and Travel,along with fast cars. I just love france! and refuse to grow up!!!
3TYEHJA5M3R7QPAW2CRI4R5FCQ	I am a freshman at Panther Creek High School in North Carolina. BIG CHRISTIAN WATCH OUT!!! :P anyways welcome to my answers page!! :)
3GKINP2V7OCHSDT5VHKZEOJNUQ	I like to play sports and can be very sarcastic. Umm lets see here's all the anime I've seen- <br> <br/> Shugo Chara! <br> <br/> Shugo Chara Doki! <br> <br/> Naruto + Shippuden <br> <br/> Ouran High School Host Club (OHSHC) <br> <br/> InuYasha <br> <br/> Wolf's Rain <br> <br/> Full Moon wo Sagashite <br> <br/> Fruits Basket <br> <br/> DN Angel <br> <br/> Black Cat <br> <br/> Vampire Knight <br> <br/> Vampire Knight Guilty <br> <br/> Soul Eater <br> <br/> Special A <br> <br/> Rosario + Vampire <br> <br/> Rosario + Vampire Capu2 <br> <br/> Strike Witches <br> <br/> Kamichama Karin <br> <br/> Kamikaze Kaitou Jeanne <br> <br/> Scrapped Princess <br> <br/> Zero no Tsukaima ( all 3 seasons ) <br> <br/> Pretear <br> <br/> Full Metal Alchemist (FMA) <br> <br/> Cardcaptor Sakura <br> <br/> Tsubasa Reservoir Chronicles <br> <br/> Macross Frontier <br> <br/> Lemon Angel Project <br> <br/> Higashi no Eden <br> <br/> K-On! <br> <br/> Sora O Miageru Shoujo No Hitomi Ni Utsuru Sekai (or just Munto for short X3) <br> <br/> <br> <br/> Anime guys i would date include- <br> <br/> Ikuto - Shugo Chara <br> <br/> Hayte- Pretear <br> <br/> Zero- Vampire Knight <br> <br/> Naruto,Sasuke,Kakashi,Itachi, and more- Naruto Shippuden <br> <br/> Furet and Shannon- Scrapped Princess
37QTMPQQVEKJDJ6ZUYV2JIMY64	I am [nineteen] years young. I make my birthday on [june18th]. I graduated [high school] in may of [two-thousand&&eight]. I was born and raised in Louisiana but I moved to Missouri in July of two-thousand&&eight. I am a daddy's girl and my mom is my best friend. I met the love of my life and we have been together for almost two years. He is the best and I wouldn't trade him for anything or anyone. He is my dream come true. I plan on going to school soon and I was to be a Veterinarian technician. If that doesn't work out then my second choices or an Ultrasound Technician or a Radiologist. I love animals very much and I also enjoy music a lot, I love all music. I love all of my family, I also love my boyfriends family, and of course I love my boyfriend tons. That is all for now. Thank you for stopping by.
3VEQF2PAWXLC3O52PHRYR4CKCE	24. 3rd year Nursing student. You'll catch my answers in health related fields and some other random ones. STNA in Ohio (Certified Nursing Assistant) <br> <br/> I am currently expecting a baby girl on September 22nd...and she's still not here! -_-
3HTKZCHY7ADCNGWKXLSKD63TMI	I'M THE MOST BURGOYNABLE FRIENDLESS YOU WILL EVER MEET!!! <br> <br/> <br> <br/> MY NAME IS Billium T. Flamingpenis, and I burned down the White House in 1812. <br> <br/> <br> <br/> I'm heavily into cars, and most of my questions and answers will be about them. <br> <br/> <br> <br/> BURGOYNED!
3EPXBY2DA4JU3IURHN27S3ZHAY	'Ello. I'm xandria, currently residing in Texas. <br> <br/> I'm 16 years young. I have to have time to myself, otherwise i think i'd go crazy. <br> <br/> <br> <br/> Writing is my drug of choice, if i could somehow melt it down and inject it into myself, i would. <br> <br/> <br> <br/> I'll get along with anybody who can hold a decent conversation and interests me in some way. I love meeting unique, open minded people that can make me see the world from a different angle. <br> <br/> <br> <br/> I'm stubborn when it comes to my belief system, I don't think anyone could ever zconvince me of something other than what i believe. <br> <br/> <br> <br/> There is no god, don't try to convince me <br> <br/> <br> <br/> .I have huge goals in life, none of which i voice because they either sound too ignorant, or completely pointless. <br> <br/> <br> <br/> Sometimes i think my brain is malfunctioned, the way i think is pretty f'd up. If that doesn't scare you, let's chat.
3MNCKASPDW3BRJZCSVWYKHCLSY	I have been a gearhead all my life from motorcycles, cars, suv's, trucks. I once was voted the highest Graduate at AAI. in AZ. back in 1982. I also still hold my badge number #a8757, I went on to open my own automotive repair shop called A-1 Automotive in LasVegas NV. I also owed A-1 Automobil repair, and at the same time also worked with Nevada Pay Phone. One day it all came to an end do to an auto accident. Now today I work as a car salesmen at Integrity Chrysler Jeep, Dodge. I still like to help out others when I can. so ask away...
3HSNBWI2IHBHM6Q3UCO4CJL5JU	I am a composer currently studying at Carnegie Mellon University in Pittsburgh. My music can be found here: <br> <br/> youtube.com/adamfieldcomposer
N6LRBU7EU2MVTQIZ4N2ZMVTNLE	Born San Diego CA and grew up in Manila :) 100% Filipino :) <br> <br/> <br> <br/> Birthday is on October 3, 1994 :)
NOQO5IRHQTSWRCHPOOQUF64SOI	hey all im from the uk and im mainly in to my music ill pretty much listen to anything from the 50's,60's,70's 80's,90's,00's if it sounds good to me then i like it lol :) always happy to help anyone :)
NXDEC2RQU2Z2D3TBMBWOL55V5U	i am 21 and in Malaysia.. i am still studying!Everyone is welcomed to know about me...just IM me.
N3XYMSLH3C5KMDTGNXJ7SRHHFY	college girl. <br> <br/> arizona. <br> <br/> big city girl. <br> <br/> future pharmacist. <br> <br/> make up artist. <br> <br/> independent. <br> <br/> in love. <br> <br/> romantic. <br> <br/> lebanese. <br> <br/> highest heels. <br> <br/> newest fashions. <br> <br/> <br> <br/> please check out my blog! : <br> <br/> itsmyloveblog.blogspot.com
NXGIFJZCGYBI4BONWRQVFJSWUY	21 yrs old, living in Anchorage, AK. Married, Serve in USAF
NGJXW3MNIE7CTLO2QENNTAPGZ4	I'm Mackenzie Caroline. <br> <br/> I am 15 years old and I live in West Palm Beach,Florida. I love fashion,photography,the outdoors,cheerleading,tennis,and golfing. I go to boarding school in New Hampshire. <br> <br/> <br> <br/> Follow me on tumblr: palmbeachproper.tumblr.com
N6UYLFYSQ3VQWQQH7N2ERROCNY	I am a thirty year old Englishman, living in Mayfair, London. I am lucky to come from a wealthy and noble background. I am currently a member of the Armed Forces, as I have been since I was twenty one years old. When I leave the Armed Forces, I plan to become a member of the Police Service.
NZB6BJCH2K6675BFV3KF5K3X7A	Name: Jacob Devasia <br> <br/> House Name: Maprayil <br> <br/> Loaction:Kerala/Dubai <br> <br/> visit at <a href="http://360.yahoo.com/my_profile-ZExkslY7eqVC31pL7iBLzdqSpgI-;_ylt=Ajt6MhXx_u3OU9CYddzTO7jlAOJ3?cq=1">http://360.yahoo.com/my_profile-ZExkslY7...</a> <br> <br/> Qualification:M.Tech(IT) <br> <br/> Occupation: Manager(IT) <br> <br/> GulfLOG <br> <br/> Dubai Media City <br> <br/> UAE <br> <br/> Ph: +971509837073 <br> <br/> Ask IT related Question / Document/records management system/Scanning/Microfilming/dell laptop formating/Image Processing/Video Editting/Software Development <br> <br/> <br> <br/> Education: <br> <br/> <br> <br/> S.S.L.C : St.Philomena's H.zS , Upputhara <br> <br/> +2 Level: IHRDE Kuttikkanam <br> <br/> B.C.A : Marian College Kuttikkanam <br> <br/> M.Tech(IT): AAIDU <br> <br/> <br> <br/> Company : <br> <br/> I.T.Manager : (GulfLOG, Dubai Media City) <br> <br/> Project Manager : (Mathenson Records Mangement Pvt.Ltd,Mumbai) <br> <br/> <br> <br/> Present Project InstaLOG the Export Documentation Program. <br> <br/> <br> <br/> X-Trade Light -A Warehousing Software with Bill of Entry Records and Full H.S Codes especialy for Jebel Ali Freezone Dubai. <br> <br/> SYMEX-Money Exchange Software Mighty Systems
NOWY5PVMVAOMSLJGC2P7LDXZY4	Somewhere in the Netherlands.
