3INJ4LZC7PNUZNQX4VMS3IK2B4	hi, i love photograpy and live in arkansas. please help answer my questions! ill help answer yours!
327PUGCTBNBKRC5IN7NYDPOWEU	MS chemical engineering from West Virginia Univ <br> <br/> - current student at Palmer Chiropractic College in San Jose.
3Q6V6UQDMO457EGYBXQALJW3MU	im 15 years old i go to easley high school and im in the 10th grade at Easley High Skool...my best friends are Laura, Nikki, and Makayla!!!!!!!!!! Me and Nikki have been planing our sweet sixteen for a while and we can not wait till i turn sixteen so i can get my own car and get out of my house and get away from my family for a little while!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
3ZSMTOHXVCV6HHA5FTQC63IGMU	Receive high-quality professional services from De'More Tax Service based in Arlington, TX. Open all-year to focus on your tax preparation experience to be hassle-free.
3XB7Z4ZAXNFZACFTQYQSLSJKEQ	I am a 33 year old ,stay at home wife. Before I got married in Feb 06. I worked for a casino doing modeling, cocktailing, and working VIP Events. I have a son who's 15, a daughter who's 13, two stepdaughter's ages9 and 10 and my baby is 11 months old. My husband works as an Operator in the refinery and in his spare time raises and breeds beautiful American Pitbull's and Staffordshire Bull Terriers . I am from Louisiana so my favorite food is crawfish, I love to dance, I enjoy dining out with my husband and friends, and of course what all women love to do; shopping! I've vacationed in Can Cun, Cozumel, California, Reno and Lake Tahoe. My favorite place was Lake Tahoe which is where my husband and I were married . If you wanna know anything else about me, just ask.
3HCXZSQ6Q6ARUFQZKWDM6RDM3E	I'm a 23 year old mother, full-time college student, and I work part time. I am married and live in Cincinnati.
3W5GRRGZIK6VPS6ZSACMO6YNME	KiNG⋆LATiNO @ San Francisco, CA <br> <br/> <br> <br/> Smart alec guy, trying to get ahead in the world, maybe help others along the way! <br> <br/> <br> <br/> I am the founder of a number of organizations and am currently in the process of starting a new marketing business. <br> <br/> <br> <br/> Some topics that interest me include: <br> <br/> <br> <br/> * Small Business <br> <br/> * Marketing <br> <br/> * Fitness / Weight Lifting <br> <br/> * Philosophy <br> <br/> * Graphic Art / Design <br> <br/> * Internet <br> <br/> * Programming & Scripting <br> <br/> <br> <br/> Don't be shy to send me a comment, and answer my questions if you can! Usually if people answer my questions and have good answers, I'll go and anszwer some of theirs! <br> <br/> <br> <br/> All good/reasonable answers get an automatic thumbs up. All lame, sarcastic, and unhelpful answers get an automatic thumbs down! <br> <br/> <br> <br/> If you need help with marketing, design or internet related concepts and technologies feel free to contact me and I can give you a free consultation or provide a service for you!
3MHOTOHSN4X3IBNK5VHAIGJCEA	My name Alex! im in seventh grade...i live in Helena Montana i go to CRA...for some reseson i LOVE sad songs...... weird right? lol oh and EMOS R AWESOME!!!!!!!!! im kinda sad i can't be there when my bf needs me but i still love him and he knows it
3RYT4AQEIGJPQQ75I3BOXISNFU	Well, Im just me, I'm 24, I live in Bedford (UK) <br> <br/> <br> <br/> I'm one of those peoples who sucks up knowledge like a sponge and have had some experiences to last me a lifetime. I have had a very good education and am well informed about a lot of things, especially my own problems. <br> <br/> <br> <br/> I have been married and divorced (years ago - sounds bad I know), and diagnosed with Borderline Personality Disorder for which I have suffered with for years, but still remains a big factor in my life. <br> <br/> <br> <br/> Im emotional, caring, a little unpredictable, but thats not neccesarily a bad thing.... <br> <br/> <br> <br/> I hold down a job which I enjoy, I'm a rower (yes them thin boats on rivers with a bunch of guys pulling blades through the water!), and just generally am me. Im really enthusiastic about photography (although not very good!) and love to socialise and keep on top of things, Oh, I'm a flirt too :P <br> <br/> <br> <br/> I have faults, but who don't. <br> <br/> <br> <br/> Meh <br> <br/> <br> <br/> :P
3WXYQPXZ5H5CSJYSJY43ERSESU	heey (: I'm rachel, you probably won't read this, care about me, or even give me a chance, but hey. that's your decision. I'm the same as all of you. if you tell me to do anything, I'll do it. (favor wise) I'm straight edge. take me to a show, and you'll be my new best friend. I'm in love with Mitchell Davis. this little kid named Jermz from Louisiana is the coolest d00d ever! :D I'm a fat ass, and I don't care if you don't like it. I love moshing, skinny jeans, and trees. hot weather pisses me off, as well as 3/4 the population. I don't give two shits about your opinion. I live off of water. I'd rather be alone than anything. I love my 360, and I play way to much Gears of War. if you think you're a princess, in my book you're a dumbass. if you "l!k t@wk!n l!k di$" we have english class for a reason. serious conversations make me happy. don't like me? screw off. I'm me and i won't change for you. I will not follow your latest trend. I cause chaos. I will be heard. AIM - rachelbr00tal
3EZCFGECKZSVWBBAI2SDPDXWYA	Hey people, <br> <br/> Im Anmol and here r things u should know about me : <br> <br/> # Im from India (Goa) <br> <br/> # Fave spot = Home <br> <br/> # Fave food = Chinese <br> <br/> # Fave drink = Water!!! <br> <br/> # I love to draw, read, watch movies, listen to songs <br> <br/> # I mostly love to shop for accesories (mostly earrings)=] <br> <br/> # Fave channel = Disney and MTV <br> <br/> # I love cats <br> <br/> # I love to travel and visit new places <br> <br/> # Fave Movie = Om Shanti Om <br> <br/> # My idea of fun is to be with friends, chatting away and driving each other crazy( it really fun!) <br>z <br/> # I love meeting new people and making friends :) <br> <br/> # If ur reading this and u share any similarity with me (just about anything) plz let me know by mailing me. I would love to be friends with u and keep contact with u ! =)
3LQPLM3REC6QEDMENU6YQC7RLU	Text criticism and Theology post-grad. <br> <br/> <br> <br/> Fae Scotland.
3XWFRQ7JQBTBHDA6VZWVSMAVBQ	I am a 53 year old woman from the state of Virginia; a mother of 2 and a grandmother of 5. As I celebrate the second half of my life, I have been extremely blessed to find an extraordinary, caring, loving and handsome man; to share this last half with.... God has blessed me greatly!
3VO6GXQ6HG5JAVHLR2NFDMFHY4	Hey I'm Gabrielle but people call me Gabbie. I want to go to india so day. My heaven is getting lots of clothes really cheap. I love horse back riding, I love writing (I'm currently writing a book), Sorry you can't message me :( My email is: javablue139@yahoo.com no caps
3XHFP7MDX5SMGARUEBKPQBWEWE	44 year old living and working in UK.
3XY3ZTLQ4ZIZUXYKYR5FF6WXGA	Hey, I am a 18 years old guy that is currently studying. I live in a city called Boden located in Sweden. What else can I say about myself? I am a happy-go-lucky person. <br> <br/> <br> <br/> Contact me if you need help with anything! <br> <br/> <br> <br/> Cheers, <br> <br/> Qwickpk
3CMUNE7IJSRP5UTNGHJR6V7YDI	I'm 19 and i live in Utah. I love to help people whenever i can. =]
3TYCUFULUSYIX265NTWX5FOPFM	Hayy Mah friendz! My best friend is Hailey Kemmer!! ILY!! <3 I love my boyfriend! My favorite song is touchin on my by 3oh!3 and that song is vary vary amazing! I met an awesome kid named Hale at a church thing. I was born in Oregon, but now i live in Sedona arizona. I love justin bieber and i dont care if you judge m eon who I like but hes Amazing!!!! Im in 7-8 grade! im almost 14!! (: <3
36RPZDNZOVMNIDB6TSMXTYDVW4	I am an independent consultant with Arbonne International. Arbonne is a 27 year old health and wellness company with amazing products. The products are formulated and researched in Switzerland, but made in the USA - and the Swiss are years ahead of us in using more natural products. Arbonne carries skin care, baby products, make-up, aromatherapy, wellness products, nutritional items, weight loss products, hand and foot lotions, and an acne line and detoxifying spa products. In fact, if you are reading this and considering the acne line - I believe in it so much I will offer you my discount (meaning I don't earn a commission) the first time you order. Products can be discounted 35%. Ask me how! I know you will LOVE Arbonne's products. I have samples too! Feel free to check out Arbonne's website - <a href="http://www.arbonne.com" rel="nofollow">http://www.arbonne.com</a> E-mail me your order and/or questions. <br> <br/> <br> <br/> There is also an incredible business opportunity with these products. Contact me for more information.
3O2YQWDB4WIGLA3WLB7SF4G4S4	I live in the Florida Keys and own a Mortgage company (guess what the name is). I love to sail and enjoy the water and ourdoors.
3RVVIR22SHYINNA4XMRWUY36YE	I like frank & honest people, whatever age & nationality. I enjoy good old fashioned music, especially that of the 30's to the 80's, more than the modern pop variety, balloon dancing instead of discotheques. Love theatres, old movies, literature, good writing. Crazy about good food of all variety & origin, with particular interest in Chinese food, Indian, Thai, Filipino, Indonesian, Roast beef & prime ribs! <br> <br/> I read, write & speak English, Spanish & Chinese. Would love to spend a month or so, as soon as I can find a like-minded travel companion, visiting Hong Kong & perhaps a couzple more other places in China.
3YV62VFZMS65BEVJ5PGMNWWA54	I'm laid back and friendly <br> <br/> 19 years old <br> <br/> I reside in Minnesota <br> <br/> I love biking and being active <br> <br/> I love cats, cooking, shopping and sleeping <br> <br/> I'm a business student probably switching to dietetics
3I7XWFM6L34HYWNO72QLLTQN4E	♥ <br> <br/> Charlotte. 14 years old. 02.12.1995. Wolverhampton, England (: <br> <br/> <br> <br/> ♥ bestfriends+trueones<3 <br> <br/> Im really happy to answer any of your question if i can
3RNRAOBQQK3YSL3WCK5RU4CGDY	I'm 36, Married to a beautiful girl and have 2 very smart kids. We have big dogs and a small one. <br> <br/> <br> <br/> I grew up in rural America. Went to college and moved away to the big city. <br> <br/> <br> <br/> I'm a tech geek as well as a motor-head. Heazvy Metal and Hard Rock are my preferred music. I cut off my hair in the 90's for a job and haven't had the opportunity to grow it back yet. Maybe next year or the year after. <br> <br/> <br> <br/> I was driving motorbikes at 10, tractor at 13 and cars at 15. I was raised mopar, went to chevy, and have straddled the american-made vehicle fence since the early 90's. <br> <br/> <br> <br/> My garage currently has Dodge, Plymouth, Ford and Chevy all over it. Date ranges from '65 thru the '00 on my vehicles. Been wrenching since before I had my license.
3NKESMUSBCVIIGX63W44AIG7V4	I'm 5'10"200 lbs.BRN. HR BRN.EYES <br> <br/> I'm in San Juan , Puerto Rico
3XIGKYBWIBPXUW4X6LIG4DYUTA	Got it! MA in English, Fall 2007. Born in Sacramento, CA. but have been living in the Twin Cities, Minnesota, for the last 27 years. Former punk rocker now turned ESL instructor, literary scholar and writer. Specialty is literary and cinematic criticism, east Asian literature, and postcolonial theory, though when the wolf is at the door I also do technical writing. <br> <br/> <br> <br/> (I've sworn however that I would rather plunge a sharpened pencil through my hand than edit another C++ program manual.) <br> <br/> <br> <br/> I also love rock n' roll, though my heart often harks back to the music of my youth (Credence Clearwater, Little Feat, Black Sabbath, The Who, Grateful Dead, Sex Pistols, The Clash). But I also love contemporary bands like Cake, Death Cab for Cutie, Silversun Pickups, Queens of the Stone Age and Dinosaur Jr.
3YK2QPQMRIM6MAJWIYPDRBNSKA	I'm 16 years old from london, doing my GCSE's and come on Y/A to pass the time. <br> <br/> <br> <br/> Gym, Weed, Rubicon Mango, Parties/Raves.
3E5TLGC3JMZDYS6CERDBGCDGHQ	I am Muthukumar from Kovilpatti(Tuticorin District).I wish share the knoweldge on all subjects with yahoo.answers ans also willing to develop my knowledge with yahoo...
3NXDHWK24C2B4LYBLNQY5THNWI	Aloha! How is everyone? Well I am an army wife stationed with my husband in Hawaii. I have a daughter and a son who are my life. I am into sports, the beach, photography, going back to school, and scrapbooking!
3KD3PMUVVBQK2E6AIMAYVOKTLU	Hey there, <br> <br/> I'm 27 years old and happily married. I'm german yet recently moved to the US. My husband is in the army and was stationed in Germany, that i how i ended up here, lol... We are recently TTC... so wish me luck on that one and if you have natural Tips i'd appreciate them. <br> <br/> Any questions? Feel free to ask... <br> <br/> Take Care <br> <br/> Ivonne
3RT5AVHZ3JTHWBJ7MGUG3BBZEA	Hello, people of the planet earth! I am a person, and one who enjoys reading, writing, and playing the Bass Clarinet as well as the Ocarina. I also love Star Trek, Doctor Who and Legend of Zelda. I'm fairly friendly, but also not an idiot, so be warned.
3NRGKBCVFY7QAEHGPGHK47AMWE	hey whats up dallas guy
35H73OH4QN67QZWMOXZIQAK5YA	Hi I'm Dina here from Knoxville,Tn of age 22 year old. I like to go shooping at the mall and places. My signature Scent is "The Body Mist" from Victoria's Secret Body Collection it's one of mine fave scents from victoria's secret also like Fancy Love & Fancy by jessica Simpson and Couture Couture by juicy Couture perfumes.
3USKCZ7DNW2FEAJ6EBAUXNEGO4	I'm an actress living in London. Shakespeare roles I've played include ~ <br> <br/> <br> <br/> Romeo in Romeo and Juliet <br> <br/> Viola in Twelfth Night <br> <br/> Helena in A Midsummer Night's Dream <br> <br/> Rosaline in Love's Labour's Lost <br> <br/> Isabella in Measure For Measure
34IMQA4WEEVSJQ2BE27VGM6ZXM	16 year old guy from The Netherlands. Should be enough, no? :)
3LPKX5QZMJWQAI6HQ2ZW7CDWX4	CEO - OmniTranz, LLC <br> <br/> <br> <br/> OmniTranz is looking for Merchant Account Sales Agents. <br> <br/> <br> <br/> If you are interested please email your resume to sales@omnitranz.com <br> <br/> <br> <br/> OmniTranz provides a "world" of transaction payment solutions to businesses across the US. We provide honest and transparent merchant services to prospect and clients that create longterm relationships.
3OEQ63KU3QVVPKLBBCODIPH2TA	I am originally Turkish and am proud of it, but have been living in Bedford,MI, midwest for a long while but this doesnt mean that I forgot my own language and culture. I LOVE 'EM. Hello Turkiye,Peace All....
377YWW7OWSFKDZJEU44OJTBXIA	Senior at Colorado State University (online campus). Love Colorado, its a beautiful place to raise children.
34VGA6NO64LE27O5CFQT7S76BI	MUSIC IS MY LIFE!!!! <br> <br/> I like all kinds of music, but Hard Rock & Heavy Metal are at the top of my list. <br> <br/> <br> <br/> I like: In Flames, GWAR, Emperor, Nine Inch Nails, Darkthrone, 36 Crazyfists, Nightwish, Rob Zombie, Nevermore, Type O Negative, Stolen Babies, Lacuna Coil, John5, Behemoth, Dimmu Borgir, Danzig, Mercyful Fate, Dragonforce, Watain, Deathspell Omega, Mastadon, Slipknot, The Mars Volta, Rush, Firewind, Opeth, Soulfly, 1349, Arch Enemy, W.A.S.P., Judas Priest, Testament, Megadeth, <br> <br/> Leaves Eyes, The Dresden Dolls, Iron Maiden, Motorhead, Ministry, Foo Fighters, Ozzy, Stapping Young Lad, HELLYEAH, Lordi, Devil Driver, My Dying Bride, HIM, Marduk, Wednesday13, Sunn O))), Twilight, Nachtmystium, Xasthur, Turisas, Moonspell, Scars on Broadway, Cradle of Filth, The Birthday Massacre, Otep, Childen of Bodom, Amon Amarth, Borknagar,Candlemass, Iced Earth, KISS, I, Burzum, Immortal, Kittie, Marilyn Manson, Lizzy Bordom, Mortiis, Slayer, and to many damn more to list!! <br> <br/> <br> <br/> O, and Hannah Montana
3L4TEU7NJ345WWRBPQCPS36OIU	I live in Texas where i'm an engineer for the UPRR.In my spare time I like to ride my Harleys(got a 1956 panhead and a 2002 electraglide classic) I also build and fly radio controlled airplanes and helicopters.I build computers too.I'd like to do more woodworking too if i could find the spare time lol
3DP3FAYHPZGAN5POZJKU4RVFHI	❒ Taken ✔ Single <br> <br/> Name- Lorena <br> <br/> Age- 18 <br> <br/> Ethnicity- Hispanic <br> <br/> About me- born May.15.1994 in McAllen, Texas. Music is my life, it is what keeps me sane. Animals are my treasure, I cannot listen or see an animal get hurt or I'll cry. I have only five true friends whom I love. I've been through a lot with the Depression that I have. To those who have this condition, you are not alone. If you ever need someone to talk to, I'll be here for you. There isn't much more to say, just talk to me. :3
3NUGPR552SNPJITC347JLF3RHA	Owned border collies for over 20 years, I worked with Border Collie Rescue of Northern California fostering behavioral and medical special needs dogs, with a focus on shy and feral dogs. I am now affiliated with Western Border Collie Rescue. I left my job as an Emergency Medical Technician in a busy 911 system to attend Vet Tech School, I am currently working my way through school as a full time, private dog behavior consultant. <br> <br/> <br> <br/> <a href="http://www.denverdogbehavior.com" rel="nofollow">http://www.denverdogbehavior.com</a>
3ZRDJYATYNGTYOAT5YPWQL27P4	I'm a Trophey Hunter from Quakertown Pennsylvania. I have taken a 230 pound russian boar and a five point whitetail along with various other animals.
3I53ZWKYHSX2ZVWSSBJSY4VGMU	Im 17, male, and Im from Ireland! <br> <br/> <br> <br/> Im outgoing, maybe too ambitious, i think everyone is really interesting, and i just think you should live life to the full! <br> <br/> <br> <br/> I love sports. <br> <br/> <br> <br/> I love Music too <br> <br/> <br> <br/> If you want to know me, email me,
3XD3GDR7D7DQMIQVCAH4VUYOKM	Hey guys, I'm a hockey fan, and player as well. I also am a video game geek and I have a PS3 and PS2. If any of you have a PS3 add me on PSN. My ID is: TheSkilled-1 <br> <br/> My favorite team: The Pittsburgh Penguins <br> <br/> Real Madrid, L.A. Lakers, Toronto Blue Jays, Pittsburgh Steelers, Toronto Rock rule as well!
35OH5MFVIGTHM5AC76UPU7J3SY	Born & raised in Europe to US military parents. Came to the US at 12. Been in the world. Outspoken with strong opinions. Love spirited discussions.
3JPU56GAFGKHECQD5XBAIBAI7I	parmys 16 live in Tehran,Iran <br> <br/> love night,sky,rain,music,math,internet and movie and swim! <br> <br/> Female
3MHZ3DLKDFWJQYBUATEBLRFKT4	Heyy its Kat... that's short for Kathleen..... <br> <br/> <br> <br/> <br> <br/> Livin' life here in New Jersey... <br> <br/> <br> <br/> <br> <br/> My blue eyes are staring at you... hahaha. <br> <br/> <br> <br/> <br> <br/> 15 years young.... <br> <br/> <br> <br/> <br> <br/> And now I'm going to go answer more questions. see ya! <br> <br/> <br> <br/> ~*Kat*~
NB3CLKC3DXJFBC7FYJ2DUS7FGE	Fashion, Japan, Drifting, Imports, Fashion, CIWWAF, Men, Fashion <br> <br/> <br> <br/> Feel Free To Contact Me On Any Of The Above*
NEH7KZHTAIJLOSVFP332LDPP2E	i'm a girl who lives in california!!!!!!!!!!!! <br> <br/> I AM NOT INDIAN!!!!!(PPL ALWAYZ MISTAKE ME FOR AN INDIAN IT GETS ME SO MAD!!!!)
NIEOJOXUGGD6U7J27X3T6XYFPI	Not much about me to say <br> <br/> <br> <br/> I was born in New York City. I have German, Polish and Irish roots in my blood. I play video games and I know a lot about history. <br> <br/> <br> <br/> I am an artist. Not the average teenage one but I do major in sketching at my high school which is LaGuardia high school for the preforming arts. <br> <br/> <br> <br/> I have Aspergers which is like autism but not fully. I can make eye contact or talk to others easily. It's a challenge but hopefully I will overcome it. I think It's a blessing not a curse.
NJ7DGMCWMKU7C3IRKKL2XFRIQE	I'm a down to Earth lass from Pittsburgh. I love movies, music, theater, shopping, playing darts and the occasional drink. I'm usually pretty spontanious and willing to do anything within reason. I'm also a registered Libertarian because I think Republicans and Democrats are both full of crap. When my life settles down a little, I'd like to become more politically active. Lastly, I have 2 cats and I love animals. <br> <br/> <br> <br/> I'm currently a full time EMT and a casual hairdresser. I was looking to get out of EMS at one point but I'm really enjoying my job again and I'd like to stick around for a couple more years. I'm single right now and although single life has it's perks, I would love to settle down with the right person. And to all you pervs out there, I don't believe in casual sex and refuse to do that with anyone that I dont care about. I have my morals and my personal code and I don't break it, EVER.
NXBHXXPNZ4YH6626BVKQWNNOZQ	I live in Sydney, Australia and am in the process of starting my own business. I'm tall, blonde, attractive and like being single.
N6FDZH47XJP2HXXQTYVEUQF4A4	Musical Theatre. Irish. London. 17. food :)
NHCHBU64HBXSSSJBBHXCVBOXA4	Grew up in The Midwest watching The National Wrestling Alliance (NWA) as a child and then discovered The World Wrestling Federation (WWF). I like Professional Wrestling, not Sports Entertainment. The emphasis should be on Wrestling Holds, Wrestling Moves, Kicks, Strikes, Brawling and Submissions.
NWD574YBLR5R6WZJCUSZTDEXDY	Artist/Comic Books, Artist on TV and movie productions. I live in Northern California near the Russian River, Armstrong Redwoods and the Pacific Coast. *Look up Sebastopol to get and idea of the life styles of this area. <br> <br/> They call river folks R Rats. Many comic book writers/artists live around here. <br> <br/> I have lots of animals: 2 dogs (a Dalmation. and a Rat Terrier). There are also 3 cat beasties. <br> <br/> I kayak and swim in the RRiver...The ocean is too dangerous for swimming. And I gave up surfing several years ago because I blew out my knees. <br> <br/> Guatemala is one of my favorite places and have lived there.....thus my interest in the zMaya <br> <br/> and my attendance @ the Maya Meetings at UT in Austin, TX. Great music and neat people there (Guate and Austin)! <br> <br/> I have been working on a Graphic Novel for 5+ years. My comic partner lives in NY and we do a lot of our work via the computer, web cam and headset phone. San Francisco is 70 mi south of here and I consider it home.
NU5ZAYGJBKSXFILLYULKAX3ZXA	My name is Sherri, I'm 27 years old and I live in central Wisconsin (buuurrr). I'm a fulll-time college student majoring in Nursing. I am married and have 5 small children. Tyler 8 1/2, Katleynn 4, Christopher 3, and the twins, Michael & Kyle are just turned 1. <br> <br/> The greatest advice I could give anyone is....Follow your heart and make your dreams come true! Live your life to the fullest with no regrets on what you do...be yourself and love who you are...
NN2JGEK3M4Q5BR5OOQKJBCSD7M	hi my name is Renee im 16 years old and love my life <br> <br/> i live in nsw near sydney <br> <br/> i am single and loving it to death <br> <br/> i play alot of sport... i got the gym 3-4 tyms a week, i play netball, gymnastics and indoor soccer... i know im a sports freak <br> <br/> <br> <br/> i also love mii music.. im into anything really but mi fav is techno <br> <br/> <br> <br/> anywaz i best be off <br> <br/> <br> <br/> Renee xoxox
NHH5Q6XDAONRXYHG4ABIPDESEM	Wardrobe Stylist / Hair Stylist / Bumble and Bumble network educator / Schwarzkopf Colorist . <br> <br/> <br> <br/> Raised in Chicago, lived in SOBE Miami, Toronto, NYC and presently in LA. <br> <br/> <br> <br/> 100% Human <br> <br/> <br> <br/> Born "Year of the Dragon"
NB4PH7DKERWFW5SKMQN26EWHFQ	Hi, I'm Brendan and I love to listen to music, paint, read, and watch anime. I'm 16 years old and plan on going to college and being some kind of a doctor when I'm older (Cant decide between General Physician, or some kind of a surgeon). I live in Nebraska, U.S. I'm pretty good at math and science, so I mainly answer in that section. <br> <br/> My favorite bands are: Rise against, Radiohead, Papa Roach, Avenged Sevenfold, and Blink 182. <br> <br/> My favorite song EVER is Karma Police by Radiohead.
N2BYHCCU3GF6547EB7OSIU6BZM	Im 19, living in San Diego with my bf. I go to SDCC and Im a clerical at target!
NZNQYU7XUYUEFYZ35FA5ZWYM7E	I´m 15 years old. I´m in 10th grade. I Live in Brazil. I like to play the guitar and the cello. I love to read and write a-lot. I like to practice sports, going to the movies, cooking, traveling, and surfing the net. I´m a poliglot. <br> <br/> <br> <br/> "Music is what moves me, it´s what inspires me to continue in the long battle...." <br> <br/> :)
NOILYE5FVC54X6IO2Z442BDX7E	IM A 19 YEAR OLD BOY IN LAKE WORTH FLORIDA SEEKING GIRL 18- 25 IN LAKE WORTH FLORIDA
NNS6XDVJQPKPZDAJJ7TBS2SLJQ	I am from georgia, I love to go muddin and ride 4-wheelers. If you want to know anything else then you can e-mail me at dixieangel90@yahoo.com or im me on yahoo at dixieangel90. If you ever need anyone to talk to then you can IM or E-mail me because I LOVE TO TALK!!!!
N5S4FOJTCTW3HKWNWN3QX7NXX4	Hey , I"m Courteney ! I live in Ireland (100% Irish =] ) I"m 15 <br> <br/> I like to read (bookaholic! XD) , i like to act , Im addicted to youtube (ALL HAIL SHANE DAWSON) and I love to draw and want to be an artist when Im older :)
N32TYRQJRUTEYO6VLFOLRAYDZQ	Hey :). my name is obviously Dakota and answering yahoo questions is something i like to do in my spare time. im a cool, chill guy, and i like to give advice. I usually find myself answering relationship related questions because they help me learn things that may help me with my gf. we are 2 years and going :D.
